Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 3.69618e+07 1.67286e+06 3 0 12.2967 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 3.69618e+07 1.67127e+06 3.06148 1.22967 12.3177 1.18567 101289 297.98 0.750005 -21.7649 9.79827 0.896426 0.00355378 -9.77207 1585.7 0.00306148 
0.2 3.69618e+07 1.66969e+06 3.24604 2.46144 12.3386 1.18565 101287 297.979 0.750019 -87.2082 9.79826 3.59175 0.00711364 -9.77207 1585.7 0.00324604 
0.3 3.69618e+07 1.6681e+06 3.55388 3.69531 12.3596 1.18562 101284 297.977 0.750043 -196.553 9.79826 8.09498 0.0106796 -9.77207 1585.7 0.00355388 
0.4 3.69618e+07 1.66652e+06 3.98521 4.93127 12.3806 1.18557 101279 297.974 0.750076 -350.025 9.79826 14.415 0.0142516 -9.77206 1585.7 0.00398521 
0.5 3.69618e+07 1.66493e+06 4.54024 6.16933 12.4016 1.18551 101272 297.97 0.750119 -547.848 9.79826 22.5606 0.0178298 -9.77206 1585.7 0.00454024 
0.6 3.69618e+07 1.66334e+06 5.21918 7.40949 12.4226 1.18544 101264 297.966 0.750172 -790.25 9.79826 32.5406 0.0214141 -9.77205 1585.7 0.00521918 
0.7 3.69618e+07 1.66176e+06 6.02224 8.65176 12.4437 1.18535 101255 297.961 0.750235 -1077.46 9.79826 44.3633 0.0250046 -9.77205 1585.7 0.00602224 
0.8 3.69618e+07 1.66017e+06 6.94963 9.89613 12.4647 1.18524 101244 297.955 0.750307 -1409.7 9.79825 58.0375 0.0286013 -9.77204 1585.7 0.00694963 
0.9 3.69618e+07 1.65859e+06 8.00157 11.1426 12.4858 1.18513 101232 297.948 0.750389 -1787.2 9.79825 73.5713 0.0322041 -9.77204 1585.7 0.00800157 
1 3.69618e+07 1.657e+06 9.17826 12.3912 12.5069 1.185 101218 297.94 0.750481 -2210.2 9.79825 90.9732 0.0358132 -9.77203 1585.7 0.00917826 
1.1 3.69618e+07 1.65542e+06 10.4799 13.6419 12.5279 1.18486 101203 297.932 0.750584 -2678.93 9.79824 110.251 0.0394285 -9.77202 1585.7 0.0104799 
1.2 3.69618e+07 1.65383e+06 11.9067 14.8947 12.549 1.1847 101187 297.923 0.750696 -3193.61 9.79824 131.413 0.0430501 -9.77201 1585.7 0.0119067 
1.3 3.69618e+07 1.65224e+06 13.4589 16.1496 12.5702 1.18453 101169 297.913 0.750818 -3754.49 9.79823 154.468 0.0466779 -9.772 1585.7 0.0134589 
1.4 3.69618e+07 1.65066e+06 15.1368 17.4066 12.5913 1.18434 101149 297.902 0.750951 -4361.79 9.79823 179.422 0.050312 -9.77199 1585.7 0.0151368 
1.5 3.69618e+07 1.64907e+06 16.9404 18.6657 12.6124 1.18415 101128 297.89 0.751094 -5015.76 9.79822 206.283 0.0539525 -9.77197 1585.7 0.0169404 
1.6 3.69618e+07 1.64749e+06 18.87 19.9269 12.6336 1.18393 101106 297.877 0.751247 -5716.63 9.79822 235.06 0.0575993 -9.77196 1585.7 0.01887 
1.7 3.69618e+07 1.6459e+06 20.9259 21.1903 12.6547 1.18371 101082 297.864 0.751411 -6464.65 9.79821 265.76 0.0612524 -9.77194 1585.7 0.0209259 
1.8 3.69618e+07 1.64432e+06 23.1082 22.4558 12.6759 1.18347 101057 297.85 0.751585 -7260.05 9.7982 298.389 0.0649119 -9.77193 1585.7 0.0231082 
1.9 3.69618e+07 1.64273e+06 25.4171 23.7234 12.6971 1.18321 101030 297.835 0.75177 -8103.07 9.7982 332.955 0.0685778 -9.77191 1585.7 0.0254171 
