Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 7.9302e+08 4.62817e+07 3 0 7.33636 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 7.9302e+08 4.62533e+07 3.03668 0.733636 7.34688 1.18568 101290 297.98 0.750002 -106.217 9.79827 0.319078 0.00212023 -9.77207 28395 0.00303668 
0.2 7.9302e+08 4.62249e+07 3.14678 1.46832 7.35741 1.18566 101288 297.98 0.750007 -425.476 9.79826 1.27813 0.0042435 -9.77207 28395 0.00314678 
0.3 7.9302e+08 4.61965e+07 3.3304 2.20406 7.36794 1.18564 101286 297.978 0.750015 -958.687 9.79826 2.87987 0.00636982 -9.77207 28395 0.0033304 
0.4 7.9302e+08 4.61681e+07 3.58765 2.94086 7.37848 1.18561 101283 297.977 0.750027 -1706.76 9.79826 5.12698 0.0084992 -9.77207 28395 0.00358765 
0.5 7.9302e+08 4.61397e+07 3.91862 3.67871 7.38903 1.18558 101279 297.975 0.750042 -2670.61 9.79826 8.02215 0.0106316 -9.77207 28395 0.00391862 
0.6 7.9302e+08 4.61113e+07 4.32344 4.41761 7.39959 1.18553 101275 297.972 0.750061 -3851.14 9.79826 11.568 0.0127672 -9.77206 28395 0.00432344 
0.7 7.9302e+08 4.6083e+07 4.8022 5.15757 7.41016 1.18548 101269 297.969 0.750083 -5249.26 9.79826 15.7672 0.0149058 -9.77206 28395 0.0048022 
0.8 7.9302e+08 4.60546e+07 5.35501 5.89859 7.42074 1.18542 101263 297.965 0.750109 -6865.89 9.79826 20.6223 0.0170475 -9.77206 28395 0.00535501 
0.9 7.9302e+08 4.60262e+07 5.98197 6.64066 7.43132 1.18535 101256 297.961 0.750138 -8701.91 9.79826 26.136 0.0191923 -9.77205 28395 0.00598197 
1 7.9302e+08 4.59978e+07 6.68319 7.38379 7.44191 1.18527 101247 297.957 0.750171 -10758.3 9.79825 32.3108 0.0213402 -9.77205 28395 0.00668319 
1.1 7.9302e+08 4.59694e+07 7.45878 8.12798 7.45252 1.18519 101238 297.952 0.750207 -13035.8 9.79825 39.1492 0.0234912 -9.77205 28395 0.00745878 
1.2 7.9302e+08 4.5941e+07 8.30884 8.87323 7.46313 1.1851 101229 297.946 0.750247 -15535.5 9.79825 46.6538 0.0256453 -9.77204 28395 0.00830884 
1.3 7.9302e+08 4.59126e+07 9.23348 9.61955 7.47375 1.18499 101218 297.94 0.75029 -18258.2 9.79825 54.8271 0.0278026 -9.77204 28395 0.00923348 
