Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 0 1100 3 0 -9.79827 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 0 1100 2.95101 -0.979827 -9.79065 1.18569 101291 297.981 0.750003 8.38166 9.79827 0.569164 -0.00283172 -9.77207 0 0.00295101 
0.2 0 1100 2.80407 -1.95889 -9.76781 1.1857 101292 297.982 0.750012 33.5015 9.79827 2.27492 -0.00566123 -9.77207 0 0.00280407 
0.3 0 1100 2.55934 -2.93567 -9.72986 1.18573 101295 297.983 0.750027 75.2448 9.79827 5.1094 -0.00848412 -9.77207 0 0.00255934 
0.4 0 1100 2.21713 -3.90866 -9.677 1.18577 101299 297.986 0.750048 133.396 9.79827 9.05783 -0.011296 -9.77207 0 0.00221713 
0.5 0 1100 1.77788 -4.87636 -9.60951 1.18581 101304 297.988 0.750074 207.64 9.79827 14.0987 -0.0140926 -9.77207 0 0.00177788 
0.6 0 1100 1.24219 -5.83731 -9.52775 1.18587 101311 297.992 0.750107 297.568 9.79827 20.2038 -0.0168696 -9.77207 0 0.00124219 
0.7 0 1100 0.610824 -6.79008 -9.4322 1.18594 101318 297.996 0.750144 402.679 9.79827 27.3391 -0.019623 -9.77207 0 0.000610824 
0.8 0 1100 -0.115345 -7.7333 -9.32338 1.18602 101326 298.001 0.750187 522.387 9.79827 35.4644 -0.0223487 -9.77207 0 -0.000115345 
Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 0 1100 3 0 -9.79827 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 0 1100 2.95101 -0.979827 -9.79065 1.18569 101291 297.981 0.750003 8.38166 9.79827 0.569164 -0.00283172 -9.77207 0 0.00295101 
0.2 0 1100 2.80407 -1.95889 -9.76781 1.1857 101292 297.982 0.750012 33.5015 9.79827 2.27492 -0.00566123 -9.77207 0 0.00280407 
0.3 0 1100 2.55934 -2.93567 -9.72986 1.18573 101295 297.983 0.750027 75.2448 9.79827 5.1094 -0.00848412 -9.77207 0 0.00255934 
0.4 0 1100 2.21713 -3.90866 -9.677 1.18577 101299 297.986 0.750048 133.396 9.79827 9.05783 -0.011296 -9.77207 0 0.00221713 
0.5 0 1100 1.77788 -4.87636 -9.60951 1.18581 101304 297.988 0.750074 207.64 9.79827 14.0987 -0.0140926 -9.77207 0 0.00177788 
0.6 0 1100 1.24219 -5.83731 -9.52775 1.18587 101311 297.992 0.750107 297.568 9.79827 20.2038 -0.0168696 -9.77207 0 0.00124219 
0.7 0 1100 0.610824 -6.79008 -9.4322 1.18594 101318 297.996 0.750144 402.679 9.79827 27.3391 -0.019623 -9.77207 0 0.000610824 
0.8 0 1100 -0.115345 -7.7333 -9.32338 1.18602 101326 298.001 0.750187 522.387 9.79827 35.4644 -0.0223487 -9.77207 0 -0.000115345 
Time(sec) Thrust(N) Mass(kg) Altitude(m) Velocity(m/s) Acceleration(m/s^2) AtmosphericDensity(kg/m^3) Pressure(Pa) Temperature(K) CD(-) Fdrag(N) g(m/s^2) DynamicPressure(Pa) MachNumber(-) OrbitalAccelerationBalance(m/s^2) dMass(kg) Altitude(km)
0 0 1100 3 0 -9.79827 1.18568 101290 297.981 0.75 0 9.79827 0 0 -9.77207 0 0.003 
0.1 0 1100 2.95101 -0.979827 -9.79065 1.18569 101291 297.981 0.750003 8.38166 9.79827 0.569164 -0.00283172 -9.77207 0 0.00295101 
0.2 0 1100 2.80407 -1.95889 -9.76781 1.1857 101292 297.982 0.750012 33.5015 9.79827 2.27492 -0.00566123 -9.77207 0 0.00280407 
0.3 0 1100 2.55934 -2.93567 -9.72986 1.18573 101295 297.983 0.750027 75.2448 9.79827 5.1094 -0.00848412 -9.77207 0 0.00255934 
0.4 0 1100 2.21713 -3.90866 -9.677 1.18577 101299 297.986 0.750048 133.396 9.79827 9.05783 -0.011296 -9.77207 0 0.00221713 
0.5 0 1100 1.77788 -4.87636 -9.60951 1.18581 101304 297.988 0.750074 207.64 9.79827 14.0987 -0.0140926 -9.77207 0 0.00177788 
0.6 0 1100 1.24219 -5.83731 -9.52775 1.18587 101311 297.992 0.750107 297.568 9.79827 20.2038 -0.0168696 -9.77207 0 0.00124219 
0.7 0 1100 0.610824 -6.79008 -9.4322 1.18594 101318 297.996 0.750144 402.679 9.79827 27.3391 -0.019623 -9.77207 0 0.000610824 
0.8 0 1100 -0.115345 -7.7333 -9.32338 1.18602 101326 298.001 0.750187 522.387 9.79827 35.4644 -0.0223487 -9.77207 0 -0.000115345 
